month,group_set,scripts,supply_months,date
202207,Stage 3,5944938.0,5944938.0,2022-07-01
202208,Never eligible,9396400.0,9396400.0,2022-08-01
202208,Stage 1,10004098.0,10004098.0,2022-08-01
202208,Stage 2,2484688.0,2484688.0,2022-08-01
202208,Stage 3,6227606.0,6227606.0,2022-08-01
202209,Never eligible,8851875.0,8851875.0,2022-09-01
202209,Stage 1,9646911.0,9646911.0,2022-09-01
202209,Stage 2,2397034.0,2397034.0,2022-09-01
202209,Stage 3,5964334.0,5964334.0,2022-09-01
202210,Never eligible,8771860.0,8771860.0,2022-10-01
202210,Stage 1,9801956.0,9801956.0,2022-10-01
202210,Stage 2,2466790.0,2466790.0,2022-10-01
202210,Stage 3,6029397.0,6029397.0,2022-10-01
202211,Never eligible,9119953.0,9119953.0,2022-11-01
202211,Stage 1,9978698.0,9978698.0,2022-11-01
202211,Stage 2,2540476.0,2540476.0,2022-11-01
202211,Stage 3,6135201.0,6135201.0,2022-11-01
202212,Never eligible,9468458.0,9468458.0,2022-12-01
202212,Stage 1,10948082.0,10948082.0,2022-12-01
202212,Stage 2,2819982.0,2819982.0,2022-12-01
202212,Stage 3,6689774.0,6689774.0,2022-12-01
202301,Never eligible,7461464.0,7461464.0,2023-01-01
202301,Stage 1,8771594.0,8771594.0,2023-01-01
202301,Stage 2,2076541.0,2076541.0,2023-01-01
202301,Stage 3,5269187.0,5269187.0,2023-01-01
202302,Never eligible,7544782.0,7544782.0,2023-02-01
202302,Stage 1,8821125.0,8821125.0,2023-02-01
202302,Stage 2,2148184.0,2148184.0,2023-02-01
202302,Stage 3,5242776.0,5242776.0,2023-02-01
202303,Never eligible,8753473.0,8753473.0,2023-03-01
202303,Stage 1,10073426.0,10073426.0,2023-03-01
202303,Stage 2,2473918.0,2473918.0,2023-03-01
202303,Stage 3,5997075.0,5997075.0,2023-03-01
202304,Never eligible,7816084.0,7816084.0,2023-04-01
202304,Stage 1,9328748.0,9328748.0,2023-04-01
202304,Stage 2,2294638.0,2294638.0,2023-04-01
202304,Stage 3,5536937.0,5536937.0,2023-04-01
202305,Never eligible,9207428.0,9207428.0,2023-05-01
202305,Stage 1,10333703.0,10333703.0,2023-05-01
202305,Stage 2,2586808.0,2586808.0,2023-05-01
202305,Stage 3,6208410.0,6208410.0,2023-05-01
202306,Never eligible,8849736.0,8849736.0,2023-06-01
202306,Stage 1,9872968.0,9872968.0,2023-06-01
202306,Stage 2,2467034.0,2467034.0,2023-06-01
202306,Stage 3,5957882.0,5957882.0,2023-06-01
202307,Never eligible,8871079.0,8871079.0,2023-07-01
202307,Stage 1,10014162.0,10014162.0,2023-07-01
202307,Stage 2,2488621.0,2488621.0,2023-07-01
202307,Stage 3,6014086.0,6014086.0,2023-07-01
202308,Never eligible,9440669.0,9440669.0,2023-08-01
202308,Stage 1,10400311.0,10400311.0,2023-08-01
202308,Stage 2,2599982.0,2599982.0,2023-08-01
202308,Stage 3,6283432.0,6283432.0,2023-08-01
202309,Never eligible,8779072.0,8779072.0,2023-09-01
202309,Stage 1,9893631.0,10095997.0,2023-09-01
202309,Stage 2,2485220.0,2485220.0,2023-09-01
202309,Stage 3,5956474.0,5956474.0,2023-09-01
202310,Never eligible,9008828.0,9008828.0,2023-10-01
202310,Stage 1,10154430.0,10566978.0,2023-10-01
202310,Stage 2,2586620.0,2586620.0,2023-10-01
202310,Stage 3,6169673.0,6169673.0,2023-10-01
202311,Never eligible,9091095.0,9091095.0,2023-11-01
202311,Stage 1,10075902.0,10674810.0,2023-11-01
202311,Stage 2,2633859.0,2633859.0,2023-11-01
202311,Stage 3,6188987.0,6188987.0,2023-11-01
202312,Never eligible,9270336.0,9270336.0,2023-12-01
202312,Stage 1,10575468.0,11280892.0,2023-12-01
202312,Stage 2,2885844.0,2885844.0,2023-12-01
202312,Stage 3,6657057.0,6657057.0,2023-12-01
202401,Never eligible,8011681.0,8011681.0,2024-01-01
202401,Stage 1,8778800.0,9539304.0,2024-01-01
202401,Stage 2,2286058.0,2286058.0,2024-01-01
202401,Stage 3,5557611.0,5557611.0,2024-01-01
202402,Never eligible,8107035.0,8107035.0,2024-02-01
202402,Stage 1,8834932.0,9702077.0,2024-02-01
202402,Stage 2,2389290.0,2389290.0,2024-02-01
202402,Stage 3,5617079.0,5617079.0,2024-02-01
202403,Never eligible,8374167.0,8374167.0,2024-03-01
202403,Stage 1,9103103.0,10114931.0,2024-03-01
202403,Stage 2,2512840.0,2559631.0,2024-03-01
202403,Stage 3,5873514.0,5873514.0,2024-03-01
202404,Never eligible,8545337.0,8545337.0,2024-04-01
202404,Stage 1,9252293.0,10388856.0,2024-04-01
202404,Stage 2,2568093.0,2640015.0,2024-04-01
202404,Stage 3,6033151.0,6033151.0,2024-04-01
202405,Never eligible,9415269.0,9415269.0,2024-05-01
202405,Stage 1,9638658.0,10916977.0,2024-05-01
202405,Stage 2,2701376.0,2808809.0,2024-05-01
202405,Stage 3,6427072.0,6427072.0,2024-05-01
202406,Never eligible,8699765.0,8699765.0,2024-06-01
202406,Stage 1,8775699.0,10011545.0,2024-06-01
202406,Stage 2,2484076.0,2609810.0,2024-06-01
202406,Stage 3,5981921.0,5981921.0,2024-06-01
202407,Never eligible,9532611.0,9532611.0,2024-07-01
202407,Stage 1,9546226.0,10961511.0,2024-07-01
202407,Stage 2,2697200.0,2863900.0,2024-07-01
202407,Stage 3,6516164.0,6516164.0,2024-07-01
202408,Never eligible,9434809.0,9434809.0,2024-08-01
202408,Stage 1,9363496.0,10828502.0,2024-08-01
202408,Stage 2,2668194.0,2863431.0,2024-08-01
202408,Stage 3,6430795.0,6430795.0,2024-08-01
202409,Never eligible,8855818.0,8855818.0,2024-09-01
202409,Stage 1,8922232.0,10375848.0,2024-09-01
202409,Stage 2,2546354.0,2757172.0,2024-09-01
202409,Stage 3,6096853.0,6165311.0,2024-09-01
202410,Never eligible,9398214.0,9398214.0,2024-10-01
202410,Stage 1,9510786.0,11112939.0,2024-10-01
202410,Stage 2,2711368.0,2965327.0,2024-10-01
202410,Stage 3,6453159.0,6572381.0,2024-10-01
202411,Never eligible,8996410.0,8996410.0,2024-11-01
202411,Stage 1,9138605.0,10735049.0,2024-11-01
202411,Stage 2,2621351.0,2893643.0,2024-11-01
202411,Stage 3,6159529.0,6322474.0,2024-11-01
202412,Never eligible,9546845.0,9546845.0,2024-12-01
202412,Stage 1,10059745.0,11855775.0,2024-12-01
202412,Stage 2,2923366.0,3246849.0,2024-12-01
202412,Stage 3,6757471.0,6974856.0,2024-12-01
202501,Never eligible,8079462.0,8079462.0,2025-01-01
202501,Stage 1,8308214.0,9935322.0,2025-01-01
202501,Stage 2,2271524.0,2562854.0,2025-01-01
202501,Stage 3,5524686.0,5754983.0,2025-01-01
202502,Never eligible,7972526.0,7972526.0,2025-02-01
202502,Stage 1,8130443.0,9750529.0,2025-02-01
202502,Stage 2,2272102.0,2579732.0,2025-02-01
202502,Stage 3,5367747.0,5645513.0,2025-02-01
202503,Never eligible,8748954.0,8748954.0,2025-03-01
202503,Stage 1,8872161.0,10681102.0,2025-03-01
202503,Stage 2,2496799.0,2852363.0,2025-03-01
202503,Stage 3,5882278.0,6229868.0,2025-03-01
202504,Never eligible,8604288.0,8604288.0,2025-04-01
202504,Stage 1,8767553.0,10598868.0,2025-04-01
202504,Stage 2,2456891.0,2820406.0,2025-04-01
202504,Stage 3,5794632.0,6173953.0,2025-04-01
202505,Never eligible,9409304.0,9409304.0,2025-05-01
202505,Stage 1,9208401.0,11169536.0,2025-05-01
202505,Stage 2,2619348.0,3022153.0,2025-05-01
202505,Stage 3,6127264.0,6570094.0,2025-05-01
202506,Never eligible,9120966.0,9120966.0,2025-06-01
202506,Stage 1,8724361.0,10601077.0,2025-06-01
202506,Stage 2,2487746.0,2879089.0,2025-06-01
202506,Stage 3,5874292.0,6324191.0,2025-06-01
202507,Never eligible,9790479.0,9790479.0,2025-07-01
202507,Stage 1,9323136.0,11354521.0,2025-07-01
202507,Stage 2,2668255.0,3101071.0,2025-07-01
202507,Stage 3,6252109.0,6760495.0,2025-07-01
202508,Never eligible,9555030.0,9555030.0,2025-08-01
202508,Stage 1,8958918.0,10946990.0,2025-08-01
202508,Stage 2,2583165.0,3015098.0,2025-08-01
202508,Stage 3,6026077.0,6546747.0,2025-08-01
202509,Never eligible,9607101.0,9607101.0,2025-09-01
202509,Stage 1,9016740.0,11029092.0,2025-09-01
202509,Stage 2,2599621.0,3043216.0,2025-09-01
202509,Stage 3,6023229.0,6567053.0,2025-09-01
202510,Never eligible,9816986.0,9816986.0,2025-10-01
202510,Stage 1,9377506.0,11497639.0,2025-10-01
202510,Stage 2,2695734.0,3169187.0,2025-10-01
202510,Stage 3,6208438.0,6793715.0,2025-10-01
202511,Never eligible,9319932.0,9319932.0,2025-11-01
202511,Stage 1,8845189.0,10870636.0,2025-11-01
202511,Stage 2,2573703.0,3034998.0,2025-11-01
202511,Stage 3,5854099.0,6428745.0,2025-11-01
202512,Never eligible,10391344.0,10391344.0,2025-12-01
202512,Stage 1,10221252.0,12548309.0,2025-12-01
202512,Stage 2,3013800.0,3557921.0,2025-12-01
202512,Stage 3,6728941.0,7400473.0,2025-12-01
202601,Never eligible,8478655.0,8478655.0,2026-01-01
202601,Stage 1,8141754.0,10146298.0,2026-01-01
202601,Stage 2,2283004.0,2732452.0,2026-01-01
202601,Stage 3,5297101.0,5876844.0,2026-01-01
202602,Never eligible,8515434.0,8515434.0,2026-02-01
202602,Stage 1,8096507.0,10081955.0,2026-02-01
202602,Stage 2,2330490.0,2791699.0,2026-02-01
202602,Stage 3,5243230.0,5833216.0,2026-02-01
202603,Never eligible,9692690.0,9692690.0,2026-03-01
202603,Stage 1,9180852.0,11447892.0,2026-03-01
202603,Stage 2,2668800.0,3202240.0,2026-03-01
202603,Stage 3,5938905.0,6621279.0,2026-03-01
202604,Never eligible,9154904.0,9154904.0,2026-04-01
202604,Stage 1,8676153.0,10827513.0,2026-04-01
202604,Stage 2,2524926.0,3035190.0,2026-04-01
202604,Stage 3,5641909.0,6305603.0,2026-04-01
202605,Never eligible,9627089.0,9627089.0,2026-05-01
202605,Stage 1,8949900.0,11182709.0,2026-05-01
202605,Stage 2,2634706.0,3172990.0,2026-05-01
202605,Stage 3,5856431.0,6563616.0,2026-05-01
202606,Never eligible,9833367.0,9833367.0,2026-06-01
202606,Stage 1,8977020.0,11219068.0,2026-06-01
202606,Stage 2,2659216.0,3206450.0,2026-06-01
202606,Stage 3,5912025.0,6633006.0,2026-06-01
