group_key,guard,detail
"BIMATOPROST | EYE DROPS 300 MICROGRAMS PER ML, 3 ML",low_uptake,60-day share 1.9% of group volume
"BIMATOPROST | EYE DROPS 300 MICROGRAMS PER ML, SINGLE DOSE UNITS 0.4 ML, 30",low_uptake,60-day share 2.1% of group volume
"BISACODYL | SUPPOSITORIES 10 MG, 10",no_substitution,"30-day mean 570 -> 662, did not fall"
BISACODYL | TABLET 5 MG,no_substitution,"30-day mean 744 -> 780, did not fall"
BISACODYL | TABLET 5 MG,low_uptake,60-day share 3.1% of group volume
BISOPROLOL | TABLET CONTAINING BISOPROLOL FUMARATE 10 MG,low_uptake,60-day share 4.6% of group volume
"BRIMONIDINE + TIMOLOL | EYE DROPS CONTAINING BRIMONIDINE TARTRATE 2 MG WITH TIMOLOL 5 MG (AS MALEATE) PER ML, 5 ML",low_uptake,60-day share 2.1% of group volume
"BRIMONIDINE | EYE DROPS CONTAINING BRIMONIDINE TARTRATE 1.5 MG PER ML, 5 ML",low_uptake,60-day share 2.5% of group volume
"BRIMONIDINE | EYE DROPS CONTAINING BRIMONIDINE TARTRATE 2 MG PER ML, 5 ML",low_uptake,60-day share 1.8% of group volume
"BRINZOLAMIDE + BRIMONIDINE | EYE DROPS 10 MG BRINZOLAMIDE WITH 2 MG BRIMONIDINE TARTRATE PER ML, 5 ML",no_substitution,"30-day mean 19661 -> 19760, did not fall"
"BRINZOLAMIDE + BRIMONIDINE | EYE DROPS 10 MG BRINZOLAMIDE WITH 2 MG BRIMONIDINE TARTRATE PER ML, 5 ML",low_uptake,60-day share 2.4% of group volume
"BRINZOLAMIDE + TIMOLOL | EYE DROPS 10 MG BRINZOLAMIDE WITH TIMOLOL 5 MG (AS MALEATE) PER ML, 5 ML",no_substitution,"30-day mean 13865 -> 14548, did not fall"
"BRINZOLAMIDE + TIMOLOL | EYE DROPS 10 MG BRINZOLAMIDE WITH TIMOLOL 5 MG (AS MALEATE) PER ML, 5 ML",low_uptake,60-day share 3.1% of group volume
"BRINZOLAMIDE | EYE DROPS 10 MG PER ML, 5 ML",no_substitution,"30-day mean 27728 -> 27763, did not fall"
"BRINZOLAMIDE | EYE DROPS 10 MG PER ML, 5 ML",low_uptake,60-day share 2.2% of group volume
BROMOCRIPTINE | TABLET 2.5 MG (AS MESILATE),low_uptake,60-day share 4.6% of group volume
"BUDESONIDE + FORMOTEROL | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE CONTAINING BUDESONIDE 200 MICROGRAMS WITH FORMOTEROL FUMARATE DIHYDRATE 6 MICROGRAMS PER DOSE, 120 DOSES",low_uptake,60-day share 2.9% of group volume
"BUDESONIDE + FORMOTEROL | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE CONTAINING BUDESONIDE 400 MICROGRAMS WITH FORMOTEROL FUMARATE DIHYDRATE 12 MICROGRAMS PER DOSE, 60 DOSES",low_uptake,60-day share 2.3% of group volume
"BUDESONIDE + FORMOTEROL | PRESSURISED INHALATION CONTAINING BUDESONIDE 100 MICROGRAMS WITH FORMOTEROL FUMARATE DIHYDRATE 3 MICROGRAMS PER DOSE, 120 DOSES",low_uptake,60-day share 3.4% of group volume
"BUDESONIDE + FORMOTEROL | PRESSURISED INHALATION CONTAINING BUDESONIDE 200 MICROGRAMS WITH FORMOTEROL FUMARATE DIHYDRATE 6 MICROGRAMS PER DOSE, 120 DOSES",low_uptake,60-day share 3.0% of group volume
"BUDESONIDE + GLYCOPYRRONIUM + FORMOTEROL | PRESSURISED INHALATION CONTAINING BUDESONIDE 160 MICROGRAMS WITH GLYCOPYRRONIUM 7.2 MICROGRAMS AND FORMOTEROL FUMARATE DIHYDRATE 5 MICROGRAMS PER DOSE, 120 DOSES",no_substitution,"30-day mean 12737 -> 13482, did not fall"
"BUDESONIDE | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE 400 MICROGRAMS PER DOSE, 200 DOSES",low_uptake,60-day share 3.9% of group volume
CABERGOLINE | TABLET 2 MG,low_uptake,60-day share 3.0% of group volume
"CALCIUM | TABLET, CHEWABLE, 500 MG (AS CARBONATE)",no_substitution,"30-day mean 466 -> 488, did not fall"
"CALCIUM | TABLET, CHEWABLE, 500 MG (AS CARBONATE)",low_uptake,60-day share 3.9% of group volume
CARBAMAZEPINE | TABLET 100 MG,low_uptake,60-day share 2.4% of group volume
CARBAMAZEPINE | TABLET 200 MG,low_uptake,60-day share 2.5% of group volume
CARBAMAZEPINE | TABLET 200 MG (CONTROLLED RELEASE),low_uptake,60-day share 2.8% of group volume
CARBAMAZEPINE | TABLET 400 MG (CONTROLLED RELEASE),low_uptake,60-day share 3.1% of group volume
CARBIMAZOLE | TABLET 5 MG,low_uptake,60-day share 2.2% of group volume
"CARBOMER-980 | EYE GEL 2 MG PER G, 10 G",no_substitution,"30-day mean 3345 -> 3894, did not fall"
"CARBOMER-980 | EYE GEL 2 MG PER G, SINGLE DOSE UNITS 0.6 ML, 30",no_substitution,"30-day mean 873 -> 1504, did not fall"
"CARBOMER-980 | EYE GEL 2 MG PER G, SINGLE DOSE UNITS 0.6 ML, 30",low_uptake,60-day share 3.4% of group volume
"CARMELLOSE SODIUM | EYE DROPS CONTAINING CARMELLOSE SODIUM 10 MG PER ML, SINGLE DOSE UNITS 0.4 ML, 30",no_substitution,"30-day mean 3566 -> 4286, did not fall"
"CARMELLOSE SODIUM | EYE DROPS CONTAINING CARMELLOSE SODIUM 10 MG PER ML, SINGLE DOSE UNITS 0.4 ML, 30",low_uptake,60-day share 3.9% of group volume
"CARMELLOSE SODIUM | EYE DROPS CONTAINING CARMELLOSE SODIUM 5 MG PER ML, 10 ML",no_substitution,"30-day mean 40 -> 44, did not fall"
"CARMELLOSE SODIUM | EYE DROPS CONTAINING CARMELLOSE SODIUM 5 MG PER ML, SINGLE DOSE UNITS 0.4 ML, 30",no_substitution,"30-day mean 11653 -> 16487, did not fall"
"CARMELLOSE SODIUM | EYE DROPS CONTAINING CARMELLOSE SODIUM 5 MG PER ML, SINGLE DOSE UNITS 0.4 ML, 30",low_uptake,60-day share 3.1% of group volume
CARVEDILOL | TABLET 12.5 MG,low_uptake,60-day share 4.0% of group volume
CARVEDILOL | TABLET 25 MG,low_uptake,60-day share 4.4% of group volume
CARVEDILOL | TABLET 6.25 MG,no_substitution,"30-day mean 7576 -> 7714, did not fall"
CARVEDILOL | TABLET 6.25 MG,low_uptake,60-day share 4.2% of group volume
