group_key,guard,detail
"FLUTICASONE PROPIONATE + SALMETEROL | PRESSURISED INHALATION CONTAINING FLUTICASONE PROPIONATE 125 MICROGRAMS WITH SALMETEROL 25 MICROGRAMS (AS XINAFOATE) PER DOSE, 120 DOSES (CFC-FREE FORMULATION)",low_uptake,60-day share 4.8% of group volume
"FLUTICASONE PROPIONATE + SALMETEROL | PRESSURISED INHALATION CONTAINING FLUTICASONE PROPIONATE 250 MICROGRAMS WITH SALMETEROL 25 MICROGRAMS (AS XINAFOATE) PER DOSE, 120 DOSES (CFC-FREE FORMULATION)",low_uptake,60-day share 3.3% of group volume
"FLUTICASONE PROPIONATE | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE CONTAINING FLUTICASONE PROPIONATE 100 MICROGRAMS PER DOSE, 60 DOSES",low_uptake,60-day share 4.3% of group volume
FLUVOXAMINE | TABLET CONTAINING FLUVOXAMINE MALEATE 50 MG,low_uptake,60-day share 3.3% of group volume
FORMOTEROL | CAPSULE CONTAINING POWDER FOR ORAL INHALATION CONTAINING FORMOTEROL FUMARATE DIHYDRATE 12 MICROGRAMS (FOR USE IN FORADILE AEROLIZER),low_uptake,60-day share 3.9% of group volume
"FORMOTEROL | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE CONTAINING FORMOTEROL FUMARATE DIHYDRATE 12 MICROGRAMS PER DOSE, 60 DOSES",low_uptake,60-day share 2.6% of group volume
"FORMOTEROL | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE CONTAINING FORMOTEROL FUMARATE DIHYDRATE 6 MICROGRAMS PER DOSE, 60 DOSES",low_uptake,60-day share 3.8% of group volume
FUROSEMIDE | TABLET 20 MG,no_substitution,"30-day mean 39113 -> 41484, did not fall"
FUROSEMIDE | TABLET 20 MG,low_uptake,60-day share 3.9% of group volume
FUROSEMIDE | TABLET 40 MG,low_uptake,60-day share 4.3% of group volume
GEMFIBROZIL | TABLET 600 MG,low_uptake,60-day share 3.4% of group volume
GLIBENCLAMIDE | TABLET 5 MG,low_uptake,60-day share 2.0% of group volume
GLICLAZIDE | TABLET 60 MG (MODIFIED RELEASE),low_uptake,60-day share 2.6% of group volume
GLICLAZIDE | TABLET 80 MG,low_uptake,60-day share 2.6% of group volume
GLIPIZIDE | TABLET 5 MG,low_uptake,60-day share 4.0% of group volume
"GLYCERYL TRINITRATE | SUBLINGUAL SPRAY (PUMP PACK) 400 MICROGRAMS PER DOSE, 200 DOSES",no_substitution,"30-day mean 26117 -> 26647, did not fall"
"GLYCERYL TRINITRATE | SUBLINGUAL SPRAY (PUMP PACK) 400 MICROGRAMS PER DOSE, 200 DOSES",low_uptake,60-day share 3.0% of group volume
GLYCERYL TRINITRATE | TRANSDERMAL PATCH 18 MG,low_uptake,60-day share 3.1% of group volume
GLYCERYL TRINITRATE | TRANSDERMAL PATCH 25 MG,low_uptake,60-day share 3.5% of group volume
GLYCERYL TRINITRATE | TRANSDERMAL PATCH 36 MG,no_substitution,"30-day mean 280 -> 285, did not fall"
GLYCERYL TRINITRATE | TRANSDERMAL PATCH 36 MG,low_uptake,60-day share 4.2% of group volume
GLYCERYL TRINITRATE | TRANSDERMAL PATCH 50 MG,no_substitution,"30-day mean 1818 -> 1921, did not fall"
GLYCERYL TRINITRATE | TRANSDERMAL PATCH 50 MG,low_uptake,60-day share 3.4% of group volume
GLYCERYL TRINITRATE | TRANSDERMAL PATCH 54 MG,low_uptake,60-day share 2.8% of group volume
GLYCOPYRRONIUM | CAPSULE CONTAINING POWDER FOR ORAL INHALATION 50 MICROGRAMS (AS BROMIDE) (FOR USE IN BREEZHALER),low_uptake,60-day share 2.7% of group volume
"HYALURONATE SODIUM | EYE DROPS CONTAINING SODIUM HYALURONATE 1 MG PER ML, 10 ML",no_substitution,"30-day mean 10347 -> 12250, did not fall"
"HYALURONATE SODIUM | EYE DROPS CONTAINING SODIUM HYALURONATE 1 MG PER ML, 10 ML",low_uptake,60-day share 4.8% of group volume
"HYALURONATE SODIUM | EYE DROPS CONTAINING SODIUM HYALURONATE 2 MG PER ML, 10 ML",no_substitution,"30-day mean 62696 -> 73487, did not fall"
"HYALURONATE SODIUM | EYE DROPS CONTAINING SODIUM HYALURONATE 2 MG PER ML, 10 ML",low_uptake,60-day share 3.9% of group volume
HYDROCHLOROTHIAZIDE | TABLET 25 MG,no_substitution,"30-day mean 17515 -> 17518, did not fall"
HYDROCHLOROTHIAZIDE | TABLET 25 MG,low_uptake,60-day share 3.8% of group volume
"HYPROMELLOSE | 0.3% W/V EYE DROPS, 10 ML (PRESERVATIVE FREE)",low_uptake,60-day share 2.8% of group volume
"HYPROMELLOSE | EYE DROPS 3 MG PER ML, 10 ML",low_uptake,60-day share 2.2% of group volume
"HYPROMELLOSE | EYE DROPS 5 MG PER ML, 15 ML",no_substitution,"30-day mean 363 -> 444, did not fall"
"HYPROMELLOSE | EYE DROPS 5 MG PER ML, 15 ML",low_uptake,60-day share 2.6% of group volume
IMATINIB | TABLET 600 MG (AS MESILATE),no_substitution,"30-day mean 2 -> 2, did not fall"
INDACATEROL + GLYCOPYRRONIUM | CAPSULE CONTAINING POWDER FOR ORAL INHALATION INDACATEROL 110 MICROGRAMS (AS MALEATE) WITH GLYCOPYRRONIUM 50 MICROGRAMS (AS BROMIDE) (FOR USE IN BREEZHALER),low_uptake,60-day share 2.1% of group volume
INDACATEROL + MOMETASONE | CAPSULE CONTAINING POWDER FOR ORAL INHALATION INDACATEROL 125 MICROGRAMS (AS ACETATE) WITH MOMETASONE FUROATE 260 MICROGRAMS (FOR USE IN BREEZHALER),low_uptake,60-day share 3.9% of group volume
INDACATEROL | CAPSULE CONTAINING POWDER FOR ORAL INHALATION 150 MICROGRAMS (AS MALEATE) (FOR USE IN BREEZHALER),low_uptake,60-day share 2.2% of group volume
INDACATEROL | CAPSULE CONTAINING POWDER FOR ORAL INHALATION 300 MICROGRAMS (AS MALEATE) (FOR USE IN BREEZHALER),low_uptake,60-day share 3.3% of group volume
ISOSORBIDE DINITRATE | TABLET 5 MG (SUBLINGUAL),no_substitution,"30-day mean 175 -> 178, did not fall"
ISOSORBIDE DINITRATE | TABLET 5 MG (SUBLINGUAL),low_uptake,60-day share 1.4% of group volume
ISOSORBIDE MONONITRATE | TABLET 120 MG (SUSTAINED RELEASE),no_substitution,"30-day mean 2214 -> 5218, did not fall"
LABETALOL | TABLET CONTAINING LABETALOL HYDROCHLORIDE 100 MG,no_substitution,"30-day mean 2673 -> 2830, did not fall"
"LACOSAMIDE | ORAL SOLUTION 10 MG PER ML, 200 ML",low_uptake,60-day share 4.3% of group volume
LACOSAMIDE | TABLET 100 MG,no_substitution,"30-day mean 3132 -> 3147, did not fall"
LACOSAMIDE | TABLET 100 MG,low_uptake,60-day share 4.4% of group volume
LACOSAMIDE | TABLET 150 MG,no_substitution,"30-day mean 1336 -> 1341, did not fall"
LACOSAMIDE | TABLET 150 MG,low_uptake,60-day share 4.5% of group volume
LACOSAMIDE | TABLET 200 MG,no_substitution,"30-day mean 3124 -> 3173, did not fall"
LACOSAMIDE | TABLET 200 MG,low_uptake,60-day share 4.6% of group volume
LAMOTRIGINE | TABLET 100 MG,low_uptake,60-day share 4.0% of group volume
LAMOTRIGINE | TABLET 200 MG,no_substitution,"30-day mean 12956 -> 13203, did not fall"
LAMOTRIGINE | TABLET 200 MG,low_uptake,60-day share 4.2% of group volume
LAMOTRIGINE | TABLET 50 MG,low_uptake,60-day share 4.0% of group volume
LANSOPRAZOLE | CAPSULE 15 MG,no_substitution,"30-day mean 1897 -> 1931, did not fall"
LANSOPRAZOLE | CAPSULE 15 MG,low_uptake,60-day share 3.9% of group volume
LANSOPRAZOLE | CAPSULE 30 MG,low_uptake,60-day share 2.5% of group volume
LANSOPRAZOLE | TABLET 15 MG (ORALLY DISINTEGRATING),low_uptake,60-day share 4.1% of group volume
LANSOPRAZOLE | TABLET 30 MG (ORALLY DISINTEGRATING),low_uptake,60-day share 2.4% of group volume
"LATANOPROST + TIMOLOL | EYE DROPS 50 MICROGRAMS LATANOPROST WITH TIMOLOL 5 MG (AS MALEATE) PER ML, 2.5 ML",no_substitution,"30-day mean 50200 -> 50214, did not fall"
"LATANOPROST + TIMOLOL | EYE DROPS 50 MICROGRAMS LATANOPROST WITH TIMOLOL 5 MG (AS MALEATE) PER ML, 2.5 ML",low_uptake,60-day share 2.3% of group volume
"LATANOPROST | EYE DROPS 50 MICROGRAMS PER ML, 2.5 ML",low_uptake,60-day share 2.0% of group volume
LEFLUNOMIDE | TABLET 10 MG,low_uptake,60-day share 4.5% of group volume
LEFLUNOMIDE | TABLET 20 MG,low_uptake,60-day share 3.6% of group volume
LEVETIRACETAM | TABLET 250 MG,low_uptake,60-day share 4.6% of group volume
LEVETIRACETAM | TABLET 500 MG,low_uptake,60-day share 4.4% of group volume
LEVODOPA + BENSERAZIDE | CAPSULE CONTAINING LEVODOPA 100 MG WITH 25 MG BENSERAZIDE (AS HYDROCHLORIDE),low_uptake,60-day share 4.7% of group volume
LEVODOPA + BENSERAZIDE | CAPSULE CONTAINING LEVODOPA 100 MG WITH 25 MG BENSERAZIDE (AS HYDROCHLORIDE) (SUSTAINED RELEASE),no_substitution,"30-day mean 3349 -> 3392, did not fall"
LEVODOPA + BENSERAZIDE | CAPSULE CONTAINING LEVODOPA 100 MG WITH 25 MG BENSERAZIDE (AS HYDROCHLORIDE) (SUSTAINED RELEASE),low_uptake,60-day share 3.7% of group volume
LEVODOPA + BENSERAZIDE | CAPSULE CONTAINING LEVODOPA 50 MG WITH 12.5 MG BENSERAZIDE (AS HYDROCHLORIDE),low_uptake,60-day share 4.8% of group volume
LEVODOPA + BENSERAZIDE | DISPERSIBLE TABLET CONTAINING LEVODOPA 100 MG WITH 25 MG BENSERAZIDE (AS HYDROCHLORIDE),low_uptake,60-day share 4.4% of group volume
LEVODOPA + BENSERAZIDE | DISPERSIBLE TABLET CONTAINING LEVODOPA 50 MG WITH 12.5 MG BENSERAZIDE (AS HYDROCHLORIDE),low_uptake,60-day share 4.3% of group volume
LEVODOPA + CARBIDOPA + ENTACAPONE | TABLET 150 MG-37.5 MG (AS MONOHYDRATE)-200 MG,low_uptake,60-day share 3.9% of group volume
LEVODOPA + CARBIDOPA + ENTACAPONE | TABLET 200 MG-50 MG (AS MONOHYDRATE)-200 MG,low_uptake,60-day share 2.6% of group volume
LEVODOPA + CARBIDOPA + ENTACAPONE | TABLET 50 MG-12.5 MG (AS MONOHYDRATE)-200 MG,low_uptake,60-day share 4.6% of group volume
LEVODOPA + CARBIDOPA | TABLET (MODIFIED RELEASE) 200 MG-50 MG (AS MONOHYDRATE),no_substitution,"30-day mean 2878 -> 2889, did not fall"
LEVODOPA + CARBIDOPA | TABLET (MODIFIED RELEASE) 200 MG-50 MG (AS MONOHYDRATE),low_uptake,60-day share 4.6% of group volume
LINAGLIPTIN + METFORMIN | TABLET CONTAINING 2.5 MG LINAGLIPTIN WITH 1000 MG METFORMIN HYDROCHLORIDE,low_uptake,60-day share 3.2% of group volume
LINAGLIPTIN + METFORMIN | TABLET CONTAINING 2.5 MG LINAGLIPTIN WITH 500 MG METFORMIN HYDROCHLORIDE,low_uptake,60-day share 3.3% of group volume
LINAGLIPTIN + METFORMIN | TABLET CONTAINING 2.5 MG LINAGLIPTIN WITH 850 MG METFORMIN HYDROCHLORIDE,low_uptake,60-day share 3.6% of group volume
LINAGLIPTIN | TABLET 5 MG,low_uptake,60-day share 3.9% of group volume
LIOTHYRONINE | TABLET CONTAINING LIOTHYRONINE SODIUM 20 MICROGRAMS,low_uptake,60-day share 4.4% of group volume
"LIQUID PARAFFIN + GLYCEROL + TYLOXAPOL + POLOXAMER-188 + TROMETAMOL HYDROCHLORIDE + TROMETAMOL + CETALKONIUM CHLORIDE | EYE DROPS CONTAINING LIQUID PARAFFIN, GLYCEROL, TYLOXAPOL, POLOXAMER-188, TROMETAMOL HYDROCHLORIDE, TROMETAMOL, CETALKONIUM CHLORIDE, 10 ML (PRESERVATIVE FREE)",no_substitution,"30-day mean 9031 -> 11884, did not fall"
"MACROGOL-3350 + SODIUM CHLORIDE + BICARBONATE + POTASSIUM CHLORIDE | SACHETS CONTAINING POWDER FOR ORAL SOLUTION 13.125 G WITH ELECTROLYTES, 30",low_uptake,60-day share 4.5% of group volume
MACROGOL-3350 | POWDER FOR ORAL SOLUTION 510 G,no_substitution,"30-day mean 9637 -> 10395, did not fall"
MEDROXYPROGESTERONE | TABLET CONTAINING MEDROXYPROGESTERONE ACETATE 100 MG,low_uptake,60-day share 4.6% of group volume
MEDROXYPROGESTERONE | TABLET CONTAINING MEDROXYPROGESTERONE ACETATE 5 MG,low_uptake,60-day share 3.2% of group volume
"MESALAZINE | SACHET CONTAINING GRANULES, 1 G PER SACHET",low_uptake,60-day share 4.9% of group volume
MESALAZINE | TABLET 1 G (ENTERIC COATED),no_substitution,"30-day mean 1454 -> 1464, did not fall"
MESALAZINE | TABLET 1 G (PROLONGED RELEASE),low_uptake,60-day share 4.3% of group volume
MESALAZINE | TABLET 1.2 G (PROLONGED RELEASE),low_uptake,60-day share 4.6% of group volume
MESALAZINE | TABLET 500 MG (ENTERIC COATED),low_uptake,60-day share 3.1% of group volume
MESALAZINE | TABLET 500 MG (PROLONGED RELEASE),low_uptake,60-day share 4.4% of group volume
METFORMIN | TABLET (EXTENDED RELEASE) CONTAINING METFORMIN HYDROCHLORIDE 1 G,low_uptake,60-day share 3.4% of group volume
METFORMIN | TABLET (EXTENDED RELEASE) CONTAINING METFORMIN HYDROCHLORIDE 500 MG,low_uptake,60-day share 3.1% of group volume
METFORMIN | TABLET CONTAINING METFORMIN HYDROCHLORIDE 1 G,low_uptake,60-day share 2.5% of group volume
METFORMIN | TABLET CONTAINING METFORMIN HYDROCHLORIDE 500 MG,low_uptake,60-day share 2.7% of group volume
METFORMIN | TABLET CONTAINING METFORMIN HYDROCHLORIDE 850 MG,low_uptake,60-day share 3.7% of group volume
METHENAMINE HIPPURATE | TABLET CONTAINING METHENAMINE HIPPURATE 1 G,low_uptake,60-day share 2.3% of group volume
METHOTREXATE | INJECTION 50 MG IN 2 ML VIAL,low_uptake,60-day share 2.0% of group volume
METOPROLOL SUCCINATE | TABLET 190 MG (CONTROLLED RELEASE),low_uptake,60-day share 4.9% of group volume
METOPROLOL TARTRATE | TABLET CONTAINING METOPROLOL TARTRATE 100 MG,low_uptake,60-day share 3.7% of group volume
METOPROLOL TARTRATE | TABLET CONTAINING METOPROLOL TARTRATE 50 MG,no_substitution,"30-day mean 185910 -> 186224, did not fall"
METOPROLOL TARTRATE | TABLET CONTAINING METOPROLOL TARTRATE 50 MG,low_uptake,60-day share 2.2% of group volume
MIANSERIN | TABLET CONTAINING MIANSERIN HYDROCHLORIDE 10 MG,low_uptake,60-day share 3.1% of group volume
MINOCYCLINE | TABLET 50 MG (AS HYDROCHLORIDE),low_uptake,60-day share 3.5% of group volume
MINOXIDIL | TABLET 10 MG,no_substitution,"30-day mean 1315 -> 1512, did not fall"
MINOXIDIL | TABLET 10 MG,low_uptake,60-day share 3.8% of group volume
MIRTAZAPINE | TABLET 15 MG,low_uptake,60-day share 2.1% of group volume
MIRTAZAPINE | TABLET 15 MG (ORALLY DISINTEGRATING),low_uptake,60-day share 3.1% of group volume
MIRTAZAPINE | TABLET 30 MG,low_uptake,60-day share 2.9% of group volume
MIRTAZAPINE | TABLET 30 MG (ORALLY DISINTEGRATING),low_uptake,60-day share 4.0% of group volume
MIRTAZAPINE | TABLET 45 MG,low_uptake,60-day share 2.0% of group volume
MIRTAZAPINE | TABLET 45 MG (ORALLY DISINTEGRATING),low_uptake,60-day share 2.9% of group volume
MOCLOBEMIDE | TABLET 150 MG,low_uptake,60-day share 2.2% of group volume
MOCLOBEMIDE | TABLET 300 MG,low_uptake,60-day share 2.7% of group volume
"MONTELUKAST | TABLET, CHEWABLE, 4 MG (AS SODIUM)",low_uptake,60-day share 3.7% of group volume
"MONTELUKAST | TABLET, CHEWABLE, 5 MG (AS SODIUM)",low_uptake,60-day share 4.9% of group volume
NEBIVOLOL | TABLET 1.25 MG (AS HYDROCHLORIDE),no_substitution,"30-day mean 13133 -> 13282, did not fall"
NEBIVOLOL | TABLET 1.25 MG (AS HYDROCHLORIDE),low_uptake,60-day share 3.3% of group volume
"NICORANDIL | TABLETS 10 MG, 60",low_uptake,60-day share 4.3% of group volume
"NICORANDIL | TABLETS 20 MG, 60",low_uptake,60-day share 4.2% of group volume
NIZATIDINE | CAPSULE 150 MG,low_uptake,60-day share 2.9% of group volume
NIZATIDINE | CAPSULE 300 MG,no_substitution,"30-day mean 34403 -> 39372, did not fall"
NIZATIDINE | CAPSULE 300 MG,low_uptake,60-day share 4.9% of group volume
OLAPARIB | TABLET 100 MG,no_substitution,"30-day mean 123 -> 126, did not fall"
OLAPARIB | TABLET 100 MG,low_uptake,60-day share 2.2% of group volume
OMEPRAZOLE | CAPSULE 20 MG,low_uptake,60-day share 2.4% of group volume
OMEPRAZOLE | TABLET 20 MG,no_substitution,"30-day mean 27568 -> 29443, did not fall"
OMEPRAZOLE | TABLET 20 MG,low_uptake,60-day share 2.1% of group volume
OMEPRAZOLE | TABLET 20 MG (AS MAGNESIUM),low_uptake,60-day share 2.2% of group volume
OXCARBAZEPINE | TABLET 150 MG,no_substitution,"30-day mean 326 -> 336, did not fall"
OXYBUTYNIN | TABLET CONTAINING OXYBUTYNIN HYDROCHLORIDE 5 MG,low_uptake,60-day share 2.4% of group volume
"OXYBUTYNIN | TRANSDERMAL PATCHES 36 MG, 8",low_uptake,60-day share 4.9% of group volume
"PANCREATIC EXTRACT | CAPSULE (CONTAINING ENTERIC COATED MINIMICROSPHERES) PROVIDING NOT LESS THAN 10,000 BP UNITS OF LIPASE ACTIVITY",low_uptake,60-day share 3.6% of group volume
"PANCREATIC EXTRACT | CAPSULE (CONTAINING ENTERIC COATED MINIMICROSPHERES) PROVIDING NOT LESS THAN 25,000 BP UNITS OF LIPASE ACTIVITY",no_substitution,"30-day mean 11926 -> 11952, did not fall"
"PANCREATIC EXTRACT | CAPSULE (CONTAINING ENTERIC COATED MINIMICROSPHERES) PROVIDING NOT LESS THAN 25,000 BP UNITS OF LIPASE ACTIVITY",low_uptake,60-day share 4.2% of group volume
"PANCREATIC EXTRACT | CAPSULE (CONTAINING ENTERIC COATED MINIMICROSPHERES) PROVIDING NOT LESS THAN 35,000 BP UNITS OF LIPASE ACTIVITY",no_substitution,"30-day mean 1900 -> 2176, did not fall"
PANTOPRAZOLE | SACHET CONTAINING GRANULES 40 MG (AS SODIUM SESQUIHYDRATE),no_substitution,"30-day mean 7969 -> 8128, did not fall"
PANTOPRAZOLE | SACHET CONTAINING GRANULES 40 MG (AS SODIUM SESQUIHYDRATE),low_uptake,60-day share 1.6% of group volume
PANTOPRAZOLE | TABLET (ENTERIC COATED) 20 MG (AS SODIUM SESQUIHYDRATE),low_uptake,60-day share 3.3% of group volume
PANTOPRAZOLE | TABLET (ENTERIC COATED) 40 MG (AS SODIUM SESQUIHYDRATE),low_uptake,60-day share 1.6% of group volume
"PARAFFIN | EYE OINTMENT, COMPOUND, CONTAINING WHITE SOFT PARAFFIN WITH LIQUID PARAFFIN, 3.5 G",no_substitution,"30-day mean 3312 -> 3563, did not fall"
"PARAFFIN | EYE OINTMENT, COMPOUND, CONTAINING WHITE SOFT PARAFFIN WITH LIQUID PARAFFIN, 3.5 G",low_uptake,60-day share 3.3% of group volume
"PARAFFIN | PACK CONTAINING 2 TUBES EYE OINTMENT, COMPOUND, CONTAINING WHITE SOFT PARAFFIN WITH LIQUID PARAFFIN, 3.5 G",no_substitution,"30-day mean 8211 -> 8793, did not fall"
PAROXETINE | TABLET 20 MG (AS HYDROCHLORIDE),low_uptake,60-day share 4.4% of group volume
PERAMPANEL | TABLET 10 MG (AS HEMISESQUIHYDRATE),low_uptake,60-day share 5.0% of group volume
PERAMPANEL | TABLET 4 MG (AS HEMISESQUIHYDRATE),low_uptake,60-day share 4.9% of group volume
PERAMPANEL | TABLET 8 MG (AS HEMISESQUIHYDRATE),low_uptake,60-day share 4.6% of group volume
"PERFLUOROHEXYLOCTANE | EYE DROPS, 3 ML",no_substitution,"30-day mean 9228 -> 10632, did not fall"
"PERFLUOROHEXYLOCTANE | EYE DROPS, 3 ML",low_uptake,60-day share 4.7% of group volume
PHENOXYMETHYLPENICILLIN | CAPSULE 250 MG PHENOXYMETHYLPENICILLIN (AS POTASSIUM),low_uptake,60-day share 3.0% of group volume
PHENYTOIN | CAPSULE CONTAINING PHENYTOIN SODIUM 100 MG,low_uptake,60-day share 2.1% of group volume
PHENYTOIN | CAPSULE CONTAINING PHENYTOIN SODIUM 30 MG,low_uptake,60-day share 2.2% of group volume
PHENYTOIN | TABLET 50 MG,low_uptake,60-day share 3.2% of group volume
"PILOCARPINE | EYE DROPS CONTAINING PILOCARPINE HYDROCHLORIDE 10 MG PER ML, 15 ML",low_uptake,60-day share 1.5% of group volume
"PILOCARPINE | EYE DROPS CONTAINING PILOCARPINE HYDROCHLORIDE 20 MG PER ML, 15 ML",low_uptake,60-day share 2.4% of group volume
"PILOCARPINE | EYE DROPS CONTAINING PILOCARPINE HYDROCHLORIDE 40 MG PER ML, 15 ML",low_uptake,60-day share 3.2% of group volume
PIOGLITAZONE | TABLET 30 MG (AS HYDROCHLORIDE),low_uptake,60-day share 3.8% of group volume
PIOGLITAZONE | TABLET 45 MG (AS HYDROCHLORIDE),low_uptake,60-day share 3.5% of group volume
PIZOTIFEN | TABLET 500 MICROGRAMS (AS MALATE),low_uptake,60-day share 4.3% of group volume
"POLYETHYLENE GLYCOL-400 + PROPYLENE GLYCOL | EYE DROPS 4 MG-3 MG PER ML, 15 ML",no_substitution,"30-day mean 29360 -> 30632, did not fall"
"POLYETHYLENE GLYCOL-400 + PROPYLENE GLYCOL | EYE DROPS 4 MG-3 MG PER ML, 15 ML",low_uptake,60-day share 3.4% of group volume
"POLYETHYLENE GLYCOL-400 + PROPYLENE GLYCOL | EYE DROPS 4 MG-3 MG PER ML, SINGLE DOSE UNITS 0.8 ML, 30",no_substitution,"30-day mean 8582 -> 12256, did not fall"
"POLYETHYLENE GLYCOL-400 + PROPYLENE GLYCOL | EYE DROPS 4 MG-3 MG PER ML, SINGLE DOSE UNITS 0.8 ML, 30",low_uptake,60-day share 3.3% of group volume
POTASSIUM CHLORIDE | TABLET 600 MG (SUSTAINED RELEASE),low_uptake,60-day share 3.6% of group volume
PRAMIPEXOLE | TABLET (EXTENDED RELEASE) CONTAINING PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE 1.5 MG,low_uptake,60-day share 4.4% of group volume
PRAMIPEXOLE | TABLET (EXTENDED RELEASE) CONTAINING PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE 2.25 MG,low_uptake,60-day share 4.2% of group volume
PRAMIPEXOLE | TABLET (EXTENDED RELEASE) CONTAINING PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE 3 MG,low_uptake,60-day share 4.5% of group volume
PRAMIPEXOLE | TABLET (EXTENDED RELEASE) CONTAINING PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE 375 MICROGRAMS,low_uptake,60-day share 4.5% of group volume
PRAMIPEXOLE | TABLET (EXTENDED RELEASE) CONTAINING PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE 4.5 MG,low_uptake,60-day share 3.2% of group volume
PRAMIPEXOLE | TABLET (EXTENDED RELEASE) CONTAINING PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE 750 MICROGRAMS,low_uptake,60-day share 4.1% of group volume
PRAMIPEXOLE | TABLET CONTAINING PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE 1 MG,low_uptake,60-day share 1.9% of group volume
PRAMIPEXOLE | TABLET CONTAINING PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE 250 MICROGRAMS,no_substitution,"30-day mean 18625 -> 18824, did not fall"
PRAMIPEXOLE | TABLET CONTAINING PRAMIPEXOLE DIHYDROCHLORIDE MONOHYDRATE 250 MICROGRAMS,low_uptake,60-day share 1.3% of group volume
PRAZOSIN | TABLET 1 MG (AS HYDROCHLORIDE),low_uptake,60-day share 2.8% of group volume
PRAZOSIN | TABLET 2 MG (AS HYDROCHLORIDE),low_uptake,60-day share 3.3% of group volume
PRAZOSIN | TABLET 5 MG (AS HYDROCHLORIDE),low_uptake,60-day share 3.3% of group volume
"PREDNISOLONE SODIUM PHOSPHATE | ORAL SOLUTION 5 MG (AS SODIUM PHOSPHATE) PER ML, 30 ML",no_substitution,"30-day mean 42554 -> 64280, did not fall"
"PREDNISOLONE SODIUM PHOSPHATE | ORAL SOLUTION 5 MG (AS SODIUM PHOSPHATE) PER ML, 30 ML",low_uptake,60-day share 2.9% of group volume
PREDNISOLONE | TABLET 1 MG,low_uptake,60-day share 3.7% of group volume
PREDNISOLONE | TABLET 5 MG,low_uptake,60-day share 3.5% of group volume
PREDNISONE | TABLET 1 MG,low_uptake,60-day share 3.6% of group volume
PREDNISONE | TABLET 5 MG,low_uptake,60-day share 3.3% of group volume
PROBENECID | TABLET 500 MG,low_uptake,60-day share 3.3% of group volume
PROPANTHELINE | TABLET CONTAINING PROPANTHELINE BROMIDE 15 MG,low_uptake,60-day share 1.6% of group volume
PROPRANOLOL | TABLET CONTAINING PROPRANOLOL HYDROCHLORIDE 10 MG,low_uptake,60-day share 3.1% of group volume
PROPRANOLOL | TABLET CONTAINING PROPRANOLOL HYDROCHLORIDE 40 MG,low_uptake,60-day share 2.6% of group volume
PROPYLTHIOURACIL | TABLET 50 MG,low_uptake,60-day share 3.0% of group volume
PYRIDOSTIGMINE | TABLET CONTAINING PYRIDOSTIGMINE BROMIDE 180 MG (MODIFIED RELEASE),no_substitution,"30-day mean 416 -> 442, did not fall"
PYRIDOSTIGMINE | TABLET CONTAINING PYRIDOSTIGMINE BROMIDE 180 MG (MODIFIED RELEASE),low_uptake,60-day share 3.6% of group volume
PYRIDOSTIGMINE | TABLET CONTAINING PYRIDOSTIGMINE BROMIDE 60 MG,no_substitution,"30-day mean 2060 -> 2087, did not fall"
PYRIDOSTIGMINE | TABLET CONTAINING PYRIDOSTIGMINE BROMIDE 60 MG,low_uptake,60-day share 3.4% of group volume
RABEPRAZOLE | TABLET CONTAINING RABEPRAZOLE SODIUM 10 MG (ENTERIC COATED),low_uptake,60-day share 3.8% of group volume
RABEPRAZOLE | TABLET CONTAINING RABEPRAZOLE SODIUM 20 MG (ENTERIC COATED),low_uptake,60-day share 1.8% of group volume
RALOXIFENE | TABLET CONTAINING RALOXIFENE HYDROCHLORIDE 60 MG,low_uptake,60-day share 4.2% of group volume
RAMIPRIL | CAPSULE 1.25 MG,low_uptake,60-day share 4.6% of group volume
RAMIPRIL | CAPSULE 2.5 MG,low_uptake,60-day share 4.7% of group volume
RASAGILINE | TABLET 1 MG (AS MESILATE),low_uptake,60-day share 3.3% of group volume
REBOXETINE | TABLET 4 MG (AS MESILATE),low_uptake,60-day share 2.9% of group volume
RILUZOLE | TABLET 50 MG,low_uptake,60-day share 3.7% of group volume
RISEDRONATE | TABLET (ENTERIC COATED) CONTAINING RISEDRONATE SODIUM 35 MG,low_uptake,60-day share 4.2% of group volume
RISEDRONATE | TABLET CONTAINING RISEDRONATE SODIUM 150 MG,low_uptake,60-day share 4.2% of group volume
RISEDRONATE | TABLET CONTAINING RISEDRONATE SODIUM 35 MG,no_substitution,"30-day mean 5065 -> 5273, did not fall"
RISEDRONATE | TABLET CONTAINING RISEDRONATE SODIUM 35 MG,low_uptake,60-day share 4.4% of group volume
