outcome,patient_type,control_arm,estimate,se,ci_lo,ci_hi
patient_contrib,concessional,notyettreated,-0.5250986192734783,0.02967229154635038,-0.583256310704325,-0.4669409278426316
govt_contrib,concessional,notyettreated,-160.27417207684223,37.622125405247125,-234.0135378711266,-86.53480628255787
patient_contrib,general,notyettreated,-3.320335633607614,0.09241923059758318,-3.501477325578877,-3.139193941636351
govt_contrib,general,notyettreated,-150.29922634795906,40.83616055757267,-230.3381010408015,-70.26035165511664
