event_time,estimate,se,ci_lo,ci_hi,outcome,control_arm,window
-9,0.0032886481942217514,0.0252496264507343,-0.046200619649217484,0.05277791603766098,log_supply,notyettreated,from 2021-09
-8,-0.049204308890360246,0.02182964266285493,-0.09199040850955591,-0.006418209271164585,log_supply,notyettreated,from 2021-09
-7,-0.04447048323433171,0.019394955734082082,-0.08248459647313258,-0.006456369995530835,log_supply,notyettreated,from 2021-09
-6,-0.04940547850581335,0.021874631773059778,-0.09227975678101052,-0.006531200230616187,log_supply,notyettreated,from 2021-09
-5,-0.008050604058506921,0.020456398113126977,-0.0481451443602358,0.03204393624322195,log_supply,notyettreated,from 2021-09
-4,-0.009927828063825903,0.020004223016815554,-0.049136105176784385,0.02928044904913258,log_supply,notyettreated,from 2021-09
-3,0.00366481085072275,0.020019010754362996,-0.03557245022782872,0.04290207192927423,log_supply,notyettreated,from 2021-09
-2,0.0029958217454397282,0.01843781389400839,-0.033142293486816715,0.03913393697769617,log_supply,notyettreated,from 2021-09
-1,0,NA,NA,NA,log_supply,notyettreated,from 2021-09
0,0.017356866145969457,0.014795545549291082,-0.011642403130641063,0.04635613542257998,log_supply,notyettreated,from 2021-09
1,0.046582760437117704,0.0159125824844964,0.015394098767504763,0.07777142210673064,log_supply,notyettreated,from 2021-09
2,0.043515431173613034,0.01663642667980084,0.010908034881203385,0.07612282746602268,log_supply,notyettreated,from 2021-09
3,0.045697614146609666,0.017016385763278637,0.01234549805058354,0.07904973024263579,log_supply,notyettreated,from 2021-09
4,0.010035940869799392,0.0189734172786314,-0.02715195699631815,0.047223838735916936,log_supply,notyettreated,from 2021-09
5,0.026397022501211228,0.016010349475744767,-0.004983262471248511,0.057777307473670964,log_supply,notyettreated,from 2021-09
6,0.04961695883041665,0.02002298707756275,0.01037190415839366,0.08886201350243964,log_supply,notyettreated,from 2021-09
7,0.0557042575196711,0.023207501305571778,0.010217554960750413,0.10119096007859178,log_supply,notyettreated,from 2021-09
8,0.052205369035811224,0.022797659252273696,0.007521956901354779,0.09688878117026767,log_supply,notyettreated,from 2021-09
9,0.06668983842579627,0.027644349369792407,0.012506913661003156,0.1208727631905894,log_supply,notyettreated,from 2021-09
10,0.05267433306776703,0.027892327829514008,-0.0019946294780804202,0.10734329561361448,log_supply,notyettreated,from 2021-09
11,0.03254946234028456,0.02424420474450076,-0.01496917895893693,0.08006810363950605,log_supply,notyettreated,from 2021-09
12,0.04695277042765866,0.02963845177129677,-0.011138595044083002,0.10504413589940033,log_supply,notyettreated,from 2021-09
-12,-0.33734146657706815,0.11658288311690009,-0.5658439174861923,-0.10883901566794399,log_supply,nevertreated,from 2021-09
-11,-0.32534765792566694,0.11749847586304235,-0.55564467061723,-0.09505064523410395,log_supply,nevertreated,from 2021-09
-10,-0.37692972460704377,0.11832948237868338,-0.6088555100692632,-0.14500393914482435,log_supply,nevertreated,from 2021-09
-9,-0.29056707141990507,0.10998229205797506,-0.5061323638535362,-0.07500177898627394,log_supply,nevertreated,from 2021-09
-8,-0.20399504435831245,0.10690868930315868,-0.4135360753925035,0.00554598667587855,log_supply,nevertreated,from 2021-09
-7,-0.2274727247081492,0.1006711541805889,-0.4247881869021034,-0.030157262514194955,log_supply,nevertreated,from 2021-09
-6,-0.1561149352836194,0.09242360693483824,-0.33726520487590234,0.02503533430866356,log_supply,nevertreated,from 2021-09
-5,-0.05813838661905718,0.10910153254999935,-0.27197739041705593,0.15570061717894154,log_supply,nevertreated,from 2021-09
