outcome,control_arm,estimate,se,ci_lo,ci_hi,n_groups
log_supply,notyettreated,0.03614266609642078,0.026338939083481512,-0.015481654507202985,0.08776698670004454,2392
log_scripts,notyettreated,-0.09970369488351968,0.024512423668768518,-0.14774804527430596,-0.05165934449273339,2392
log_supply,nevertreated,-0.17799518888496757,0.10127836143548542,-0.376500777298519,0.020510399528583856,443
log_scripts,nevertreated,-0.3333355994870952,0.09643483122170735,-0.5223478686816416,-0.1443233302925488,443
log_supply,sunab (never-treated implicit),0.040780358343627275,0.009143104317483282,0.022859873881360043,0.05870084280589451,2392
