check,estimate,se,ci_lo,ci_hi,verdict
placebo_switch_202209,0.012752107550388291,0.02191817739032167,-0.030207520134642188,0.055711735235418766,PASS - null as expected
multiplier_1.8,0.010902489232675913,0.025161162905301383,-0.0384133900617148,0.06021836852706663,sensitivity
multiplier_1.9,0.023627974214901863,0.02576339693982581,-0.02686828378715672,0.07412423221696045,sensitivity
govt_cost_all_scripts,-177.47144696708799,40.741470386979735,-257.32472892556825,-97.6181650086077,sensitivity
govt_cost_above_copay_only,-178.10214482942249,43.70587812245359,-263.76566594943154,-92.43862370941345,sensitivity
